
Quadro extraído em 08 de Novembro de 2025 (12:20:08)
http://www.ine.pt



Período de referência dos dados (1) ;Local de residência (NUTS - 2013) (2) ;População residente (N.º) por Local de residência (NUTS - 2013), Sexo e Grupo etário -  Anual;;;
;;Sexo;;;
;;HM;H;M;
;;Grupo etário;;;
;;Total;;;
;;N.º ;N.º ;N.º ;
2013;PT: Portugal;10444092;4965345;5478747;
;1: Continente;9937008;4722019;5214989;
;11: Norte;3640801;1731928;1908873;
;111: Alto Minho;239116;111137;127979;
;1111601: Arcos de Valdevez;21793;9916;11877;
;1111602: Caminha;16439;7591;8848;
;1111603: Melgaço;8719;3858;4861;
;1111604: Monção;18668;8410;10258;
;1111605: Paredes de Coura;8909;4274;4635;
;1111606: Ponte da Barca;11741;5409;6332;
;1111607: Ponte de Lima;42700;19963;22737;
;1111608: Valença;13827;6457;7370;
;1111609: Viana do Castelo;87258;40937;46321;
;1111610: Vila Nova de Cerveira;9062;4322;4740;
;112: Cávado;408766;194851;213915;
;1120301: Amares;18638;8969;9669;
;1120302: Barcelos;118587;57081;61506;
;1120303: Braga;183257;86878;96379;
;1120306: Esposende;34351;16257;18094;
;1120310: Terras de Bouro;6890;3292;3598;
;1120313: Vila Verde;47043;22374;24669;
;119: Ave;420923;202458;218465;
;1190304: Cabeceiras de Basto;16226;7872;8354;
;1190307: Fafe;49764;23475;26289;
;1190308: Guimarães;156986;75832;81154;
;1191705: Mondim de Basto;7127;3421;3706;
;1190309: Póvoa de Lanhoso;21656;10232;11424;
;1190311: Vieira do Minho;12731;6072;6659;
;1190312: Vila Nova de Famalicão;132841;64022;68819;
;1190314: Vizela;23592;11532;12060;
;11A: Área Metropolitana do Porto;1746629;827113;919516;
;11A0104: Arouca;21911;10533;11378;
;11A0107: Espinho;31518;14820;16698;
;11A1304: Gondomar;166587;79570;87017;
;11A1306: Maia;134998;64242;70756;
;11A1308: Matosinhos;174627;82342;92285;
;11A0113: Oliveira de Azeméis;67394;32492;34902;
;11A1310: Paredes;85607;41635;43972;
;11A1312: Porto;234453;106712;127741;
;11A1313: Póvoa de Varzim;63299;29706;33593;
;11A0109: Santa Maria da Feira;137880;66306;71574;
;11A1314: Santo Tirso;70295;33468;36827;
;11A0116: São João da Madeira;21805;10168;11637;
;11A1318: Trofa;38708;18549;20159;
;11A0119: Vale de Cambra;22248;10753;11495;
;11A1315: Valongo;93756;44585;49171;
;11A1316: Vila do Conde;79622;38150;41472;
;11A1317: Vila Nova de Gaia;301921;143082;158839;
;11B: Alto Tâmega;90347;42978;47369;
;11B1702: Boticas;5467;2619;2848;
;11B1703: Chaves;39875;18915;20960;
;11B1706: Montalegre;9972;4792;5180;
;11B1709: Ribeira de Pena;6263;3074;3189;
;11B1712: Valpaços;16148;7524;8624;
;11B1713: Vila Pouca de Aguiar;12622;6054;6568;
;11C: Tâmega e Sousa;423854;204783;219071;
;11C1301: Amarante;54716;26049;28667;
;11C1302: Baião;19436;9248;10188;
;11C0106: Castelo de Paiva;16352;7917;8435;
;11C0305: Celorico de Basto;19210;9269;9941;
;11C1804: Cinfães;19545;9474;10071;
